老陈央卫1,#genre#
CCTV1,http://www.lvyjay.win:4022/rtp/233.50.200.99:5140
CCTV2,http://www.lvyjay.win:4022/rtp/233.50.200.25:5140
CCTV3,http://www.lvyjay.win:4022/rtp/233.50.201.196:5140
CCTV4,http://www.lvyjay.win:4022/rtp/233.50.200.101:5140
CCTV5,http://www.lvyjay.win:4022/rtp/233.50.201.197:5140
CCTV5+,http://www.lvyjay.win:4022/rtp/233.50.201.220:5140
CCTV6,http://www.lvyjay.win:4022/rtp/233.50.201.198:5140
CCTV7,http://www.lvyjay.win:4022/rtp/233.50.200.24:5140
CCTV8,http://www.lvyjay.win:4022/rtp/233.50.201.199:5140
CCTV9,http://www.lvyjay.win:4022/rtp/233.50.201.121:5140
CCTV10,http://www.lvyjay.win:4022/rtp/233.50.201.122:5140
CCTV11,http://www.lvyjay.win:4022/rtp/233.50.200.132:5140
CCTV12,http://www.lvyjay.win:4022/rtp/233.50.201.123:5140
CCTV13,http://www.lvyjay.win:4022/rtp/233.50.201.246:5140
CCTV14,http://www.lvyjay.win:4022/rtp/233.50.201.124:5140
CCTV15,http://www.lvyjay.win:4022/rtp/233.50.200.133:5140
CCTV16 4K,http://www.lvyjay.win:4022/rtp/233.50.201.192:5140
CCTV17,http://www.lvyjay.win:4022/rtp/233.50.200.113:5140
CETV1,http://www.lvyjay.win:4022/rtp/233.50.200.169:5140
CETV4,http://www.lvyjay.win:4022/rtp/233.50.200.162:5140
CETV4,http://www.lvyjay.win:4022/rtp/233.50.200.174:5140
法治天地,http://www.lvyjay.win:4022/rtp/233.50.201.191:5140
游戏风云,http://www.lvyjay.win:4022/rtp/233.50.201.183:5140
茶频道,http://www.lvyjay.win:4022/rtp/233.50.201.188:5140
金色学堂,http://www.lvyjay.win:4022/rtp/233.50.201.186:5140
环球旅游,http://www.lvyjay.win:4022/rtp/233.50.202.31:5140
生态环境,http://www.lvyjay.win:4022/rtp/233.50.202.103:5140
快乐垂钓,http://www.lvyjay.win:4022/rtp/233.50.201.109:5140
生活时尚,http://www.lvyjay.win:4022/rtp/233.50.201.187:5140
乐游,http://www.lvyjay.win:4022/rtp/233.50.201.185:5140
动漫秀场,http://www.lvyjay.win:4022/rtp/233.50.201.184:5140
北京卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.100:5140
广东卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.101:5140
深圳卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.102:5140
东方卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.105:5140
江苏卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.107:5140
山东卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.108:5140
湖南卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.106:5140
四川卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.109:5140
百事通4K-1,http://www.lvyjay.win:4022/rtp/233.50.200.182:5140
百事通4k-2,http://www.lvyjay.win:4022/rtp/233.50.200.183:5140
百事通电影4K,http://www.lvyjay.win:4022/rtp/233.50.200.185:5140
CCTV4K,http://www.lvyjay.win:4022/rtp/233.50.201.226:5140
浙江卫视4K,http://www.lvyjay.win:4022/rtp/233.50.202.104:5140
欢笑剧场4K,http://www.lvyjay.win:4022/rtp/233.50.200.52:5140
重庆卫视,http://www.lvyjay.win:4022/rtp/233.50.201.143:5140
重庆卫视,http://www.lvyjay.win:4022/rtp/233.50.200.114:5140
江苏卫视,http://www.lvyjay.win:4022/rtp/233.50.201.106:5140
江苏卫视,http://www.lvyjay.win:4022/rtp/233.50.200.144:5140
浙江卫视,http://www.lvyjay.win:4022/rtp/233.50.200.231:5140
浙江卫视,http://www.lvyjay.win:4022/rtp/233.50.201.100:5140
浙江卫视,http://www.lvyjay.win:4022/rtp/233.50.200.145:5140
东方卫视,http://www.lvyjay.win:4022/rtp/233.50.201.125:5140
东方卫视,http://www.lvyjay.win:4022/rtp/233.50.200.146:5140
深圳卫视,http://www.lvyjay.win:4022/rtp/233.50.201.101:5140
深圳卫视,http://www.lvyjay.win:4022/rtp/233.50.200.188:5140
北京卫视,http://www.lvyjay.win:4022/rtp/233.50.201.107:5140
北京卫视,http://www.lvyjay.win:4022/rtp/233.50.200.179:5140
山东卫视,http://www.lvyjay.win:4022/rtp/233.50.201.105:5140
山东卫视,http://www.lvyjay.win:4022/rtp/233.50.200.127:5140
天津卫视,http://www.lvyjay.win:4022/rtp/233.50.201.104:5140
天津卫视,http://www.lvyjay.win:4022/rtp/233.50.200.104:5140
贵州卫视,http://www.lvyjay.win:4022/rtp/233.50.201.142:5140
贵州卫视,http://www.lvyjay.win:4022/rtp/233.50.200.139:5140
四川卫视,http://www.lvyjay.win:4022/rtp/233.50.201.139:5140
四川卫视,http://www.lvyjay.win:4022/rtp/233.50.200.118:5140
云南卫视,http://www.lvyjay.win:4022/rtp/233.50.200.115:5140
广西卫视,http://www.lvyjay.win:4022/rtp/233.50.200.136:5140
黑龙江卫视,http://www.lvyjay.win:4022/rtp/233.50.201.115:5140
黑龙江卫视,http://www.lvyjay.win:4022/rtp/233.50.200.189:5140
安徽卫视,http://www.lvyjay.win:4022/rtp/233.50.201.113:5140
安徽卫视,http://www.lvyjay.win:4022/rtp/233.50.200.106:5140
江西卫视,http://www.lvyjay.win:4022/rtp/233.50.201.145:5140
江西卫视,http://www.lvyjay.win:4022/rtp/233.50.200.119:5140
湖北卫视,http://www.lvyjay.win:4022/rtp/233.50.201.114:5140
湖北卫视,http://www.lvyjay.win:4022/rtp/233.50.200.147:5140
东南卫视,http://www.lvyjay.win:4022/rtp/233.50.201.146:5140
东南卫视,http://www.lvyjay.win:4022/rtp/233.50.200.135:5140
吉林卫视,http://www.lvyjay.win:4022/rtp/233.50.200.164:5140
吉林卫视,http://www.lvyjay.win:4022/rtp/233.50.202.42:5140
辽宁卫视,http://www.lvyjay.win:4022/rtp/233.50.201.141:5140
辽宁卫视,http://www.lvyjay.win:4022/rtp/233.50.200.129:5140
辽宁卫视,http://www.lvyjay.win:4022/rtp/233.50.200.173:5140
湖南卫视,http://www.lvyjay.win:4022/rtp/233.50.201.103:5140
湖南卫视,http://www.lvyjay.win:4022/rtp/233.50.200.190:5140
广东卫视,http://www.lvyjay.win:4022/rtp/233.50.200.187:5140
广东卫视,http://www.lvyjay.win:4022/rtp/233.50.200.126:5140
广东卫视,http://www.lvyjay.win:4022/rtp/233.50.200.149:5140
广东卫视,http://www.lvyjay.win:4022/rtp/233.50.201.102:5140
河南卫视,http://www.lvyjay.win:4022/rtp/233.50.201.144:5140
河南卫视,http://www.lvyjay.win:4022/rtp/233.50.200.142:5140
河北卫视,http://www.lvyjay.win:4022/rtp/233.50.201.140:5140
河北卫视,http://www.lvyjay.win:4022/rtp/233.50.200.105:5140
宁夏卫视,http://www.lvyjay.win:4022/rtp/233.50.202.45:5140
甘肃卫视,http://www.lvyjay.win:4022/rtp/233.50.200.163:5140
新疆卫视,http://www.lvyjay.win:4022/rtp/233.50.202.46:5140
西藏卫视,http://www.lvyjay.win:4022/rtp/233.50.202.43:5140
兵团卫视,http://www.lvyjay.win:4022/rtp/233.50.202.44:5140
三沙卫视,http://www.lvyjay.win:4022/rtp/233.50.200.175:5140
哈哈炫动,http://www.lvyjay.win:4022/rtp/233.50.200.167:5140
卡酷少儿,http://www.lvyjay.win:4022/rtp/233.50.200.166:5140
卡酷少儿,http://www.lvyjay.win:4022/rtp/233.50.202.33:5140
凤凰中文,http://www.lvyjay.win:4022/rtp/233.50.202.35:5140
凤凰资讯,http://www.lvyjay.win:4022/rtp/233.50.202.36:5140
北京纪实科教,http://www.lvyjay.win:4022/rtp/233.50.202.34:5140
东方财经,http://www.lvyjay.win:4022/rtp/233.50.200.177:5140
第一财经,http://www.lvyjay.win:4022/rtp/233.50.200.125:5140
都市剧场,http://www.lvyjay.win:4022/rtp/233.50.201.190:5140
都市剧场,http://www.lvyjay.win:4022/rtp/233.50.200.11:5140
欢笑剧场,http://www.lvyjay.win:4022/rtp/233.50.201.189:5140
欢笑剧场,http://www.lvyjay.win:4022/rtp/233.50.200.229:5140
浙江新闻,http://www.lvyjay.win:4022/rtp/233.50.201.137:5140
浙江民生,http://www.lvyjay.win:4022/rtp/233.50.201.136:5140
浙江科教影视,http://www.lvyjay.win:4022/rtp/233.50.201.134:5140
浙江经济生活,http://www.lvyjay.win:4022/rtp/233.50.201.133:5140
浙江钱江,http://www.lvyjay.win:4022/rtp/233.50.201.132:5140
浙江少儿,http://www.lvyjay.win:4022/rtp/233.50.201.138:5140
之江纪录,http://www.lvyjay.win:4022/rtp/233.50.202.25:5140
浙江好易购,http://www.lvyjay.win:4022/rtp/233.50.201.248:5140
杭州综合,http://www.lvyjay.win:4022/rtp/233.50.201.173:5140
杭州明珠,http://www.lvyjay.win:4022/rtp/233.50.201.174:5140
杭州生活,http://www.lvyjay.win:4022/rtp/233.50.201.175:5140
杭州影视,http://www.lvyjay.win:4022/rtp/233.50.201.176:5140
杭州青少体育,http://www.lvyjay.win:4022/rtp/233.50.201.177:5140
杭州导视,http://www.lvyjay.win:4022/rtp/233.50.201.182:5140
宁波1,http://www.lvyjay.win:4022/rtp/233.50.201.168:5140
宁波2,http://www.lvyjay.win:4022/rtp/233.50.201.178:5140
宁波3,http://www.lvyjay.win:4022/rtp/233.50.201.179:5140
宁波4,http://www.lvyjay.win:4022/rtp/233.50.201.180:5140
丽水综合,http://www.lvyjay.win:4022/rtp/233.50.201.162:5140
温州新闻,http://www.lvyjay.win:4022/rtp/233.50.201.87:5140
衢州综合,http://www.lvyjay.win:4022/rtp/233.50.202.11:5140
衢州公共,http://www.lvyjay.win:4022/rtp/233.50.202.12:5140
绍兴新闻,http://www.lvyjay.win:4022/rtp/233.50.201.156:5140
睛彩竞技,http://www.lvyjay.win:4022/rtp/233.50.202.26:5140
睛彩篮球,http://www.lvyjay.win:4022/rtp/233.50.202.27:5140
睛彩青少,http://www.lvyjay.win:4022/rtp/233.50.202.28:5140
未知节目,http://www.lvyjay.win:4022/rtp/233.50.201.117:5140
未知节目,http://www.lvyjay.win:4022/rtp/233.50.201.224:5140
未知节目,http://www.lvyjay.win:4022/rtp/233.50.201.225:5140
未识别,http://www.lvyjay.win:4022/rtp/233.50.200.32:5140
海南卫视,http://www.lvyjay.win:4022/rtp/233.50.200.165:5140
百事通体育直播1,http://www.lvyjay.win:4022/rtp/233.50.201.204:5140
百事通体育直播2,http://www.lvyjay.win:4022/rtp/233.50.201.206:5140
百事通画面,http://www.lvyjay.win:4022/rtp/233.50.200.31:5140
睛彩广场舞蹈,http://www.lvyjay.win:4022/rtp/233.50.202.29:5140

CCTV1,http://125.108.82.120:7778/rtp/233.50.200.99:5140
CCTV2,http://125.108.82.120:7778/rtp/233.50.200.25:5140
CCTV3,http://125.108.82.120:7778/rtp/233.50.201.196:5140
CCTV4,http://125.108.82.120:7778/rtp/233.50.200.101:5140
CCTV5,http://125.108.82.120:7778/rtp/233.50.201.197:5140
CCTV5+,http://125.108.82.120:7778/rtp/233.50.201.220:5140
CCTV6,http://125.108.82.120:7778/rtp/233.50.201.198:5140
CCTV7,http://125.108.82.120:7778/rtp/233.50.200.24:5140
CCTV8,http://125.108.82.120:7778/rtp/233.50.201.199:5140
CCTV9,http://125.108.82.120:7778/rtp/233.50.201.121:5140
CCTV10,http://125.108.82.120:7778/rtp/233.50.201.122:5140
CCTV11,http://125.108.82.120:7778/rtp/233.50.200.132:5140
CCTV12,http://125.108.82.120:7778/rtp/233.50.201.123:5140
CCTV13,http://125.108.82.120:7778/rtp/233.50.201.246:5140
CCTV14,http://125.108.82.120:7778/rtp/233.50.201.124:5140
CCTV15,http://125.108.82.120:7778/rtp/233.50.200.133:5140
CCTV16 4K,http://125.108.82.120:7778/rtp/233.50.201.192:5140
CCTV17,http://125.108.82.120:7778/rtp/233.50.200.113:5140
CETV1,http://125.108.82.120:7778/rtp/233.50.200.169:5140
CETV4,http://125.108.82.120:7778/rtp/233.50.200.162:5140
CETV4,http://125.108.82.120:7778/rtp/233.50.200.174:5140
法治天地,http://125.108.82.120:7778/rtp/233.50.201.191:5140
游戏风云,http://125.108.82.120:7778/rtp/233.50.201.183:5140
茶频道,http://125.108.82.120:7778/rtp/233.50.201.188:5140
金色学堂,http://125.108.82.120:7778/rtp/233.50.201.186:5140
环球旅游,http://125.108.82.120:7778/rtp/233.50.202.31:5140
生态环境,http://125.108.82.120:7778/rtp/233.50.202.103:5140
快乐垂钓,http://125.108.82.120:7778/rtp/233.50.201.109:5140
生活时尚,http://125.108.82.120:7778/rtp/233.50.201.187:5140
乐游,http://125.108.82.120:7778/rtp/233.50.201.185:5140
动漫秀场,http://125.108.82.120:7778/rtp/233.50.201.184:5140
北京卫视4K,http://125.108.82.120:7778/rtp/233.50.202.100:5140
广东卫视4K,http://125.108.82.120:7778/rtp/233.50.202.101:5140
深圳卫视4K,http://125.108.82.120:7778/rtp/233.50.202.102:5140
东方卫视4K,http://125.108.82.120:7778/rtp/233.50.202.105:5140
江苏卫视4K,http://125.108.82.120:7778/rtp/233.50.202.107:5140
山东卫视4K,http://125.108.82.120:7778/rtp/233.50.202.108:5140
